,text,cluster
59,заказ еды,кафетерария
60,прослушивание музыки,музыка
61,"Нина, у нас проэкт такой",обсуждение проектов
62,продажа одежды,торговля и бизнес
63,не,я превосходный лингвист
64,ура,положительный неформальные сообщения
65,у нас перерыв до 17?,вопросы о времени
66,понятно,обсуждение мероприятия
67,МоСКвОй?,известные города
68,в фигма сделать эти таблицы?,технические вопросы
69,"составлять список функций из таблицы, которую мы делали в начале?",различные тематические вопросы
70,а,нет соответствующей группы
71,нормально,неформальные нейтральные сообщения
72,"но думаю, что пока этого мало",запросы о группах и обучении
73,тоже,неформальные нейтральные сообщения
74,красно желтый,новая группа
75,красный,технические вопросы
76,красно-желтый,цветы и описываемые ими явления
77,Здравия желаю,1
78,Отставить,прощания
79,"Сержант, посему не на учениях?",вопросы об обучении
80,"Спал, товарищ лейтенант",неформальные нейтральные сообщения
81,"Какой я вам лейтинант, ты говоришь с начальником роты",военно тематические диалоги
82,Марш на учения,уроки и мероприятия
83,"извиняюсь, начальник роты",вопросы и объяснения
84,стартую,начало обучения
85,Тотоже,неформальные нейтральные сообщения
86,хахаха,неформальные нейтральные сообщения
87,нормально так-то,неформальные нейтральные сообщения
88,а где все остальные?,запросы о группах и обучении
89,неизвестно,люблю этот сайт
90,ну 2-их не будет,позитивные неформальные сообщения
91,"нам не хватает товарища лейтенанта, прапорщика,",различные вопросы о составе группы
92,товарища копа,друзья и неформальные сообщения
93,окопа?,неформальные нейтральные сообщения
94,коп,технические вопросы обсуждение оборудования
95,мент,токсичные сообщения
96,"так, по идее 100 проц должны подключиться 2 человека",запросы о количестве людей or participants
97,Так говорите правильно,неформальные нейтральные сообщения
98,Товарища мелиционера,адресованные именованным лицам
99,"ну ладно, товарища копчика",неформальные нейтральные сообщения
100,милиционера,разговор о профессиях
101,здравьте,приветствия
102,Зрасте,неформальные нейтральные сообщения
103,Здрасьте*; 2024-03-09T13:05:19.867Z,приветствия
104,так точно,неформальные нейтральные сообщения
105,турагенство,тур поcityx
106,опа,неформальные нейтральные соobщения
107,афигеть,флуд
108,как быстро время пролетело,неформальные нейтральные сообщения
109,дальше,технические вопросы
110,"прототип, варфрейм",обсуждение кода
111,Арсений дополняет моё приложение),обсуждение кода
112,"ща , у меня там новый номер в тг ,зайду",телеграм сообщения о telegram
113,блин,неформальные нейтральные сообщения
114,чет интересное хочу,тематические вопросы и обсуждение
115,но не могу придумать,запросы о группах и обучении
116,"да, давайте",неформальные нейтральные сообщения
117,"спасибо большое, я возьму приложение для изучения английскослов",обслуживание и обучение
118,я тут,неформальные нейтральные сообщения
119,я,1
120,я примерно так и не писал,неформальные нейтральные сообщения
121,та и писал*,неформальные нейтральные сообщения
122,здравствуйте у меня получилось зайти,приветствия
123,давайте секции для ребенка в школе,различные тематические темы вопросы
124,если сейчас не успею потом можно доделать?,запросы о группах и обучении
125,а окей; 2024-03-09T13:51:15.360Z,неформальные нейтральные сообщения
126,Мы делаем структуру и прототип?,обучение и опыт
127,И варфрейм?,технические вопросы
128,понял,технические вопросы
129,я тож,неформальные нейтральные сообщения
130,структуру отправить или прототип?,технические вопросы
131,сейчас?,продолжительность время
132,покаааа; 2024-03-09T14:30:15.410Z,неформальные нейтральные сообщения
133,до свидания; 2024-03-09T14:30:18.755Z,прощания
134,"жесть, уже предпоследний урок",неформальные нейтральные сообщения
135,так быстроо,технические вопросы
136,красиво выглядит,неформальные нейтральные сообщения
137,можно отойти на 2 минуты,зупанки
138,мы щас должны проект дорабатывать получается?,обучение и опыт
139,я пока делаю,неформальные нейтральные сообщения
140,сразу дизайн,дизайн
141,у меня со временем дальше идеи появляются для варфрейма,обучение и опыт
142,ну ладно,неформальные нейтральные сообщения
143,я поверх делала,неформальные нейтральные сообщения
144,"нормально ты так проделал, Санёк",неформальные нейтральные сообщения
145,можно попозже немножкооо,неформальные нейтральные сообщения
146,"у меня весь дизайн просто слетел, +несколько варфреймов, а ctrl z не помогает..я долго делала, может есть другие варианты, как можно восстановить ?",технические проблемы
147,попробуй кнопкой назад,технические вопросы
148,не горячими клавишами,технические вопросы
149,ну типо вдруг клавиатура отказала,технические вопросы
150,видимо на какую-то клавишу нажала,технические вопросы
151,я тогда еще раз сделаю,обучение и опыт
152,"не, не все",неформальные нейтральные сообщения
153,не видно,неформальные нейтральные сообщения
154,вашей демки нету,технические вопросы
155,попробуйте перезайти,технические вопросы
156,неа,none
157,перезайдите,технические вопросы
158,нет,я превосходный лингвист
159,у нас препод выходил на другом курсе,обучение и опыт
160,все найс было,неформальные нейтральные сообщения
161,есть,неформальные нейтральные сообщения
162,работает,обучение и опыт
163,продолжать проект?,обсуждение кода
164,я решил сделать сначала сайт,сайты и проекты
165,а потом уже для него предложение,отношения
166,нет получается,нет сообщения
167,можно я не первый и не последний,новые participants
168,сложновато,технические вопросы
169,уже щас кончится предпоследнее занятие,занятия и время
170,можно я не первый,пользователи сходу пользователи посетители
171,давайте рандомайзер,технические вопросы
172,рандом страшно,неформальные нейтральные сообщения
173,ну дааа,неформальные нейтральные сообщения
174,но так интереснее,галерея комментарии
175,прикиньте Нина первая,различные неформальные сообщения
176,ааааааа,неформальные нейтральные сообщения
177,ух,неформальные нейтральные сообщения
178,поехали,начало работы
179,найс,неформальные нейтральные сообщения
180,наайс,неформальные нейтральные сообщения
181,нааайс,неформальные нейтральные сообщения
182,девочки пока что),неформальные нейтральные сообщения
183,нааааайс,неформальные нейтральные сообщения
184,пхавпхпхфахыфавхфы,неформальные нейтральные сообщения
185,аххах,неформальные нейтральные сообщения
186,иеклис,неформальные нейтральные сообщения
187,имбаааа,неформальные нейтральные сообщения
188,"все, не страшно",неформальные нейтральные сообщения
189,так и знал,неформальное информированное сообщение
190,"нееееееет, я не хочу быть помледней",неформальные нейтральные сообщения
191,да почемуууууууууууууууууууууууу,флуд
192,хахахаха,неформальные нейтральные сообщения
193,ну да),неформальные нейтральные сообщения
194,прям для Каусар сделали,относительные неформальные сообщения
195,аша,1
196,я хотел быть именно 6,обучение и опыт
197,я хотела 3-4,запросы о группах и обучении
198,Саня герой,неформальные нейтральные сообщения
199,"Андрей, давай меняться, ахахаххахаха",неформальные нейтральные сообщения
200,давай,неформальные нейтральные сообщения
201,о,беспрядночие отклонений
202,"во, захотел",глаголы времен
203,красава Андрюха,неформальные нейтральные сообщения
204,домашнее,домашние задания
205,самых сложных не было,технические вопросы
206,для меня ничего сложного в принципе не было,обучение и опыт
207,любимое задание это дизайн,дизайн
208,командный проект,командные проекты
209,"креативность, фантазия и тд",креативность и фантазия
210,аааа дааа,неформальные нейтральные сообщения
211,командный,командные выражения
212,будет жалко прощаться,прощания
213,хорошо,положительный неформальные сообщения
214,а если у меня комп мощный и у меня тяжелое отправится в телеграм?,технические вопросы
215,на самом деле,неформальные нейтральные сообщения
216,"когда я была на прошлом курсе, там было хуже, тут всегда весело)",неформальные нейтральные сообщения
217,пока; 2024-03-16T14:33:17.121Z,прощания
218,до свидания; 2024-03-16T14:33:18.555Z,прощания
219,Привет!,приветствия
220,Готов?,начало занятия
221,это наш последний урок,уроки и занятия
222,"да, готов",неформальные нейтральные сообщения
223,а кто первый?,запросы о группах и обучении
224,выступает,обсуждение кода
225,ща посмотрим,технические вопросы
226,аня,неформальные нейтральные сообщения
227,о спасибо,комплименты
228,там вроде Нина поменялась местами с Андреем,инциденты или ошибки
229,"Если с 2-4 хотят поменяться, то я буду не против",обсуждение кода
230,с каусар сначала,нет существующих групп для этого текста
231,поменялся,прочания
232,а потом с ниной,неформальные нейтральные сообщения
233,блин мне немного страшно,неформальные нейтральные сообщения
234,чутка есть,неформальные нейтральные сообщения
235,ну да,неформальные нейтральные сообщения
236,нины вроде не будет,неформальные нейтральные сообщения
237,ппц,неформальные нейтральные сообщения
238,это как,неформальные нейтральные сообщения
239,как она сдавать будет потом,обучение и опыт
240,она просто не будет сдавать и все,токсичные сообщения
241,"я закончил 1 курс, там человека не было, его просто пропустили",обучение и опыт
242,ну такое себе,неформальные нейтральные сообщения
243,"ааааааааа, мне чутка страшно",неформальные нейтральные сообщения
244,есть такое,неформальные нейтральные сообщения
245,вы пока музыку расслабляющую тихую послушайте,музыкальные сообщения
246,ютубчик),найтилов и личности
247,ну не совсем так,неформальные нейтральные сообщения
248,урок то скоро начнется,ожидание занятий
249,а когда начинаем?,вопросы о мероприятии
250,когда мы услышим голос преподавателя,обучение и опыт
251,ждем,ждание
252,Привеееет!,1
253,не со мной,неформальные нейтральные сообщения
254,со мной,личные сообщения
255,некоторым чутка страшно,неформальные нейтральные сообщения
256,давайте их успокоим как нибудь,неформальные нейтральные сообщения
257,"кстати, как вам мой проект?",обсуждение кода
258,та все будет хорошо,неформальные нейтральные сообщения
259,ужас,токсичные сообщения
260,ну презентовать страшно,технические вопросы или обсуждение мероприятия
261,я вас скидывал,исключена
262,микрофон включился,технические воvscaleимые
263,у меня тоже,ответы и согласие
264,мы с тильдой мало времени вроде провели,неформальные нейтральные сообщения
265,основа фигма,технические вопросы
266,а если мне все понравились,позитивные нейтральные сообщения
267,дальше просто развивайся в ней,обсуждение обучения
268,мне страшно,неформальные нейтральные сообщения
269,тут главное не боятся кринжевать,неформальные нейтральные сообщения
270,мне тоже страшно,неформальные нейтральные сообщения
271,"ой не, с родителями еще страшнее",неформальные нейтральные сообщения
272,мне тоже,неформальные нейтральные сообщения
273,согл,неформальные нейтральные сообщения
274,ааааа,неформальные нейтральные сообщения
275,я запомнил где то больше половины,запись и изучение
276,а давайте вместо пожеланий все обнимемся через компьютер,нетформальные нейтральные сообщения
277,у меня не загружается,технические вопросы
278,давайте лучше доска Miro,обсуждение платформы обучения
279,и у меня,личные записки
280,лиза микрофон,технические вопросы
281,не грузит,технические вопросы
282,у мен,личное имя
283,открылось,технические вопросы
284,а как зайти,запросы о группах и обучении
285,я забыл,запросы и ошибки
286,у меня чет не получается,технические вопросы
287,давайте я напишу,обсуждение сводейства
288,Развивайтесь в своём деле до упора,обучение и опыт
289,"Не бойтесь трудностей, пусть трудности тебя бояться",отважные методы обучения
290,всем желаю успехов даже если у вас что то не получается не сдавайтесь,мотивация и поддержка
291,оу ноу,нет определенной семантики
292,ааа,12
293,нееет,флуд
294,давайте еще полепим наклейки,обсуждение материалов
295,хахаах,неформальные нейтральные сообщения
296,все хорошо,положительный неформальные сообщения
297,можно без камеры,технические вопросы
298,и камеру?,технические вопросы
299,с камерой),неформальные нейтральные сообщения
300,у меня нет камеры,технические вопросы устройства
301,у меня домашнее задание сгрызла собака,неформальные нейтральные сообщения
302,это ноут типа?,технические вопросы
303,эх,неформальные нейтральные сообщения
304,мы получается гораздо раньше закончим?,запросы о группах и обучении
305,а типо про каждый слайд не нужно говорить ?,технические вопросы
306,"давайте, держим кулачки",информальные сообщения
307,"знаете, вот я смотрю на ее проект, и чето думаю, что я очень мало сделал по сравнению с ней",обсуждение кода
308,отлично,положительное неформальное сообщение
309,это вау,неформальные нейтральные сообщения
310,супер,положительный неформальные сообщения
311,жиза,неформальные нейтральные сообщения
312,классно,10
313,у меня там много всего,обсуждение кода
314,ноут не выдержит,технические вопросы
315,мне кажется у меня так мало,неформальные нейтральные сообщения
316,теперь..,неформальные нейтральные сообщения
317,все,нейтральные неформальные сообщения
318,не  важно кася,неформальные нейтральные сообщения
319,у меня очень мало,реsources limiting
320,я потратил на проект часа 3,обучение и опыт
321,это нормально или мало?,неформальные нейтральные сообщения
322,главное не Сомневайся.,одобряющие сообщения
323,я потратила на это 6 часов и это очень мало что я сделала,обучение и опыт
324,я неделю,запросы о группах и обучении
325,"как у тебя дела, Аня?)",невirtual assistant
326,а я получается после Каусар буду презентовать?,запросы о мероприятиях и обучении
327,нина и андрей поменялись,нейтральные сообщения
328,а если у меня проект на 30 секунд? хаыхваых,технические вопросы
329,"все хорошо, спасибо арс",неформальные положительные сообщения
330,презентация*,онлайн мероприятия
331,миленькая цветовая гамма,неформальные нейтральные сообщения
332,а мне нравится,неформальные нейтральные сообщения
333,"Софья Седова, скажите пожалуйста, мой проект маленький или нормальный?",обучение и опыт
334,я просто волнуюсь чутка,неформальные нейтральные сообщения
335,жди,ждание
336,мне тоже нравится,положительный неформальные сообщения
337,как дела Меклис?,приветствия и формальные сообщения
338,у меня только этот вопрос,различные тематические вопросы
339,кася микрофон,технические вопросы
340,было не так страшно,неформальные нейтральные сообщения
341,когда начинаешь уже не страшно,неформальные нейтральные сообщения
342,"я испугался, у меня флешка с интернетом вылетела",технические проблемы
343,очень крутая и интересная задумка (тема) приложения!,отзывы и оценки
344,мне кажется надо было всем дась 2 или 3 недели на проект,обучение и опыт
345,я расскажу как я делал,обучение и опыт
346,все говорят что времени не хватило,обучение and опыт
347,"а я отказался от многово, чтобы сделать проект",обучение и опыт
348,мне очень понравилось,позитивы
349,очень классно получилось,положительный неформальные сообщения
350,"Саня, давай местами поменяемся",неформальные нейтральные сообщения
351,не хочешь?,неформальные нейтральные сообщения
352,Вопросов 0,запросы
353,классное приложение,обучение и опыт
354,Саня не хочешь поменяться?,вопросы личные
355,арс,неформальные нейтральные сообщения
356,ну не знаю),неформальные нейтральные сообщения
357,пжж,флуд
358,пробую запустить,технические вопросы
359,у тебя просто сломарный запас побольше,технические вопросы
360,я хоть несколько слов возьму,самая общая
361,так у меня и проект огромный,обсуждение работ и проектов
362,"Софья Седова, мы поменялись местами с Александром",обновленные личные данные
363,прям настолько огромный проект?,различные тематические вопросы
364,он большой,неформальные нейтральные сообщения
365,это хорошо,положительный неформальные сообщения
366,я буду радостно смотреть,положительное настроенное сообщение
367,а так я следующий,обсуждение кода
368,даааа,неформальные нейтральные сообщения
369,можно еще раз тему?,различные тематические вопросы
370,переводчик вроде,технические неясные сообщения
371,да вот,неформальные нейтральные сообщения
372,ничего себе задумка,идеи и задумки
373,мне понравилось,положительный неформальные сообщения
374,"очень красочно, и приятно смотреть",позитивные и эстетические комментарии
375,дуолинго,нау kaвказоязычных языков
376,а Андрей с Ниной чтоли поменялся?,вопросы о профессии
377,"а, тогда щас Андрей",неформальные нейтральные сообщения
378,"есть комментарий, проект идеальный",обучение и опыт
379,идея классная,положительные неформальные сообщения
380,всегда пожалуйста,приветствия
381,давайте перерыв,произованки
382,хаыхаыхва,неформальные нейтральные сообщения
383,андрей,личное имя
384,Александр молодец конечно,положительные неформальные сообщения
385,а то мы все молчим,неформальные нейтральные сообщения
386,сразу идея хорошая,отзывы и идеи
387,согласен,1
388,продуманно да,отзывы
389,очень классно,положительный неформальные сообщения
390,мне очень нравится,положительное неформальное сообщение
391,имба проект,технические вопросы
392,я добвалю; 2024-03-23T13:51:37.091Z,наставления и советы
393,очень красивый,неформальные нейтральные сообщения
394,у всех очень классные проекты,обыдненное неформальное сообщение
395,пропал,неформальные нейтральные сообщения
396,да ну нет,неформальные нейтральные сообщения
397,подождите,получение санкций
398,ахаахаха,неформальные нейтральные сообщения
399,я картинки не добавил,ошибки в обучении
400,щас щас щас,неформальные нейтральные сообщения
401,ахаахах,неформальные нейтральные сообщения
402,а ну ладно,неформальные нейтральные сообщения
403,очень классно же,положительное неформальное сообщение
404,аккуратненко,неформальные нейтральные сообщения
405,все молодцы вообще,одобрения
406,хахахах,неформальные нейтральные сообщения
407,бедняга,неформальные нейтральные сообщения
408,"блин, Саня, ну зачем ты вылетел",неформальные нейтральные сообщения
409,ниче себе красиво,неформальные нейтральные сообщения
410,"круто! детально, многофункционально, красочно красиво, как будто в мультике
Анимации потрясающие)",положительный неформальные сообщения
411,это вообще законно так идеально делать,неформальные нейтральные сообщения
412,я в шоке,неформальные нейтральные сообщения
413,это супер,неформальные нейтральные сообщения
414,все так продуманно,обсуждение методологий
415,вау,неформальные нейтральные сообщения
416,согласна,согласие
417,"Саня, лучший проект. Нас интересно, за сколько времени ты его сделал?",мнения о работе
418,это очень круто,положительный неформальные сообщения
419,шок,эмоциональные реакции
420,очень красиво,неформальные нейтральные сообщения
421,ШООК,нейтральные неформальные сообщения
422,анимированые картинки,аудио и видеосодержание
423,гифки,гифки
424,"Саня, это типо видео, но картинка",технические вопросы
425,между этого что то,нейтральные неформальные сообщения
426,"Саня, просто имба проект",неформальные нейтральные сообщения
427,"нет, все шикарно",неформальные нейтральные сообщения
428,у меня естбь,неформальные нейтральные сообщения
429,за сколько ты сделал проект?,обучение и опыт
430,ничего себе,положительные неформальные сообщения
431,я тоже кстати на бумаге рисовала и идеи записывала,записки и рисунки
432,я вот не могу представить что Саня сделает например за год,повеboldsки о профессии
433,ну реально красиво прям,неформальные нейтральные сообщения
434,когда начинаешь рассказывать уже не страшно,неформальные нейтральные сообщения
435,щас подождите,неформальные нейтральные сообщения
436,она у меня разбита и заклеена ахах,неформальные нейтральные сообщения
437,у меня темно,технические вопросы
438,я не смогу(,запросы о группах и обучении
439,у меня беспорядок на фоне,неформальные нейтральные сообщения
440,мы перед занятием стол собирали новый,обсуждение предмета
441,фотайте тех кто есть,неформальные нейтральные сообщения
442,"у меня знаете, сушилка на диване, парта у кресла, собака чуть ли не на потолке",неформальные нейтральные сообщения
443,живу в 1 комнате с сестрой блин,бntilotalive личные жизнеописания
444,"о, я был в программировании Roblox Studio",обсуждение кода
445,хочу записаться на Unity,запросы о группах и обучении
446,этот чат классный очень,положительный неформальные сообщения
447,я тоже,неформальные нейтральные сообщения
448,и в фотошопе,обработка изображений
449,о я в html изучал,обучение html
450,а фотошоп платный?,технические вопросы
451,вроде платная версия есть,технические вопросы
452,"опа, 2 скидка",скидки
453,давайте,неформальные нейтральные сообщения
454,а вы скините сертификат в бумажном виде?,технические вопросы
455,мама этого ждет,неформальные нейтральные сообщения
456,хотите прикол?,неформальные нейтральные сообщения
457,Сертификат Создомов Арсений 27 января,даты обучения
458,2024,комментарии о годах
459,73 февраля 8095 года,фантастика и фантастика
460,а где еще раз сертификат,запросы о группах и обучении
461,у меня показывает недоступно,технические вопросы
462,давайте на последок обнимемся,неформальные нейтральные сообщения
463,"о, а подарки я люблю",подарки и подарки
464,ваау,неформальные нейтральные сообщения
465,Спасибо!!!!,положительный неформальные сообщения
466,вам тоже спасибо большое,позитивные сообщения
467,и вам спасибо,неформальные нейтральные сообщения
468,Спасибо),неформальные неформальные соobщения
469,буду скучать по всем,ожидание или окончание обучения
470,спасибо вам,приветствия и запросы о группах и обучении
471,я тоже буду скучать по урокам,прощания
472,и всем вам,неформальные нейтральные сообщения
473,досвидания!; 2024-03-23T14:24:50.754Z,прощания
474,пока(; 2024-03-23T14:24:52.487Z,положительный неформальные сообщения
475,всем успехов; 2024-03-23T14:24:54.799Z,формулы дат и времён
476,а обняться; 2024-03-23T14:24:55.090Z,неформальные нейтральные сообщения
477,покаа(; 2024-03-23T14:24:55.829Z,неформальные нейтральные сообщения
478,покаа; 2024-03-23T14:24:58.906Z,прощания
479,что-то нас много,сообщения о количестве людей
480,слишком,1
481,все сделали проект?,получение и опыт
482,ну я вроде сделал,обучение и опыт
483,у меня дискорд бот,обсуждение платформы
484,"у меня тоже вроде,но тянет на 3",разные тематические вопросы и комментарии
485,сайт,полезные ссылки
486,а тут что оценка будет?,мнения о мероприятии
487,у меня такой себе проект,прогресс в проектах
488,не зн,флуд
489,не знаю,вопросы
490,просто сам себя оценил по 5 шкале,мнения о себе
491,там же вроде зачет/ не зачет,оценка
492,было бы время мб бы доделал,были бы время
493,у нас учитель 8 часов назад в онлайне был,обучение и опыт
494,мне кажется он может не зайти),неформальные нейтральные сообщения
495,я делал его сегдня 4 часа(доделывал),опыт работы и образование
496,мне 2 проекта надо делать,задания и проекты
497,я его за 4 часа написал где то,отзывы об обучении or обучение и опыт
498,багов было много,технические вопросы
499,у меня бот на команды по реакциям,обсуждение кода
500,у меня там пол ссылок на сайты заблочены),технические вопросы
501,я сначала хотел бота сделать но что то перезахотелось,дискуссия о проектах и произведениях
502,былти,неформальные нейтральные сообщения
503,были*?,технические вопросы
504,да бот это дичь какая-то,нольформные неформальные сообщения
505,из за чего?,вопросы
506,такая мутная темка,невьюджи и неформальные сообщения
507,опера не пропускала на сайты,технические вопросы
508,я еле как написал что-то на нем,изменение текста
509,так через другие браузеры не?,технические вопросы
